id,name,games,rated_ts_mu,rated_ts_sigma,last_activity_at
213395870601838592,Biscuitknees,2,24.996243641812196,7.83017013770914,2024-04-05 11:30:24.854183+00:00
467144017264640025,dogfather,2,24.996243641812192,7.83017013770914,2024-04-05 11:32:21.103726+00:00
279917931477860353,wobbles,2,24.96093463026263,7.847035506360755,2024-04-05 12:27:00.877055+00:00
460217396482015242,Solagar,2,24.944128985989327,7.996789830044178,2024-04-09 08:11:47.733878+00:00
181288055221518336,GreenSpandex,4,24.565512848071887,7.5309826010651015,2024-03-23 13:37:46.663351+00:00
585072708136730624,thesoph,25,24.51737138951813,4.943953593725713,2024-04-04 10:54:12.384498+00:00
245500900393746432,obsolete,6,24.443911790294603,7.4769033616652605,2024-03-16 12:39:38.821824+00:00
109241842817601536,TheDemigodd,22,24.404264079800317,4.843571796937034,2024-04-09 12:21:33.115363+00:00
128063348343308288,[MWV] MK (Fluffy),70,23.967230625994162,3.4575040787804854,2024-04-10 07:24:51.959906+00:00
212323850753540096,DaredevilMoon,3,23.18072827202865,7.584913325879642,2024-04-05 08:18:16.291803+00:00
301265673160753162,Damnozi,3,22.96372714415876,7.600861979906584,2024-04-09 13:14:46.222189+00:00
980690680617791499,RebeccaXx,3,22.83660408424765,7.631405612278025,2024-04-01 10:28:37.033357+00:00
175113137735860224,FeathersMcGraw,3,22.835266439675774,7.6289898005849865,2024-03-27 10:55:59.627454+00:00
545450012679602207,Eagle,3,22.739406513373297,7.465189866608437,2024-04-09 13:09:47.686515+00:00
204583469852917760,[^] indi,50,22.64835382581238,3.8315138419144894,2024-04-08 09:57:57.103481+00:00
316614348883755009,Dust,1,22.634924329582873,8.020048612578854,2024-04-02 09:57:17.740122+00:00
1092707612925104159,Seditious,1,22.519499503702182,7.990077184993502,2024-04-06 13:36:58.659677+00:00
347343246818541570,Brutus,12,22.477959532909168,6.585605536179729,2024-03-20 10:08:17.339662+00:00
184489469519462400,[MWV] hawKske,32,22.302629115639796,4.476302537244727,2024-04-09 12:22:06.725577+00:00
283420459708710913,[EL] gred,20,21.411851345727715,5.528248301370343,2024-04-10 04:51:50.641065+00:00
183098461674012672,[EL] STUBY,96,21.37589850145761,3.0182519015267286,2024-04-10 02:55:16.478294+00:00
241497438509203456,n0kay,6,21.1920689930254,6.994880381078121,2024-04-10 08:39:54.018567+00:00
226886896876388352,Simmo,78,21.111162971143845,3.3622041379053664,2024-04-09 11:26:22.544803+00:00
287162210319466506,seldom,14,21.099392778885935,6.051518412263953,2024-04-07 09:06:11.562321+00:00
158765588607533058,CatONineFails,4,20.79219446061534,7.37171568351202,2024-03-28 11:37:25.077510+00:00
216524122937753600,Sean (Penzor),2,20.789452396304696,7.83017013770914,2024-04-05 11:22:30.619087+00:00
194011635365445632,HmmmChrist,8,20.72526181414335,6.54012807488202,2024-04-08 09:31:32.749725+00:00
177688364038881280,Hitch!,2,20.607234023543576,7.784626670151566,2024-03-31 11:41:07.700412+00:00
211027189867610112,Firey,99,20.38689174319659,3.073135131290255,2024-04-09 12:03:19.813119+00:00
155437429195669504,piepieonline,29,20.342942849509463,4.976327931936452,2024-04-08 11:01:33.581923+00:00
214680574105878528,[EL] Jelly,75,20.323733986930563,3.345908670421193,2024-04-09 12:22:11.853465+00:00
159447855625404416,Blitz,5,19.339320303181687,7.209929897891328,2024-04-04 08:56:04.813002+00:00
269670729413296128,d0t-bat,5,19.299382755435502,7.257000215719958,2024-04-06 04:18:43.429363+00:00
107783612501368832,Quba,10,18.15377602617288,6.2696904498626695,2024-04-05 11:46:05.717453+00:00
290675420167274506,Dean,8,17.78443492440367,6.725475628975517,2024-04-05 07:54:36.975594+00:00
179636989488791572,[PK35]Skyline Chili,6,17.346010056142738,6.99605080004077,2024-04-06 04:56:40.154280+00:00
